Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
-144.8983733487039,-198.0318913576703,-242.95218136766073,-151.82956794363292,-381.49127503983414,-391.8361029121649,-359.0604003770505,-333.83976096648905,-93.66451461257164,-113.96086093733469
-328.22899245539014,-99.57729299448295,-139.75707552549315,-363.39532442478554,-179.4273742620181,-192.41347194951138,-238.8648089549342,-258.8398725314895,-62.141156459572144,-108.54997903437841
-251.86053531690547,-80.02513558527806,-193.97322064379836,-78.72022091472428,-319.58515291239166,-269.12563896999944,-225.72955601446205,-156.95468755968685,-296.2742103916188,-218.03870385675634
-212.6147615421446,-348.5250497004098,-304.4032589024239,-90.99492685715217,-114.73682974121897,-85.32399903457562,-121.0289525479492,-172.10666071652486,-118.26974548349779,-377.57818676203016
-490.5655155586872,-278.06416782674444,-207.33388044596106,-135.73410056484317,-369.5027783104453,-245.22937192246218,-86.40610142306788,-215.25644799255556,-395.9040383803714,-69.32752273050394
-370.85286476441934,-409.3319976151168,-130.64232723470127,-160.94690356823077,-109.45883942420967,-61.97908429176102,-58.07747847590287,-390.0468004398502,-139.38804455956137,-180.75235322618857
-278.42598920723435,-457.58281999833144,-253.0850754040949,-259.9863485949441,-276.3392038481662,-77.69564865950636,-372.8170405843199,-502.4816701846489,-257.05845883955624,-150.9735743142676
-238.7520713682602,-223.258144818961,-108.4201907941713,-387.5070105272019,-427.6682636923841,-197.08929807033454,-378.2402888780293,-145.32211726179744,-332.79423930948985,-267.77333835024336
-251.14203425939223,-300.0611863080452,-222.2113130832513,-451.7159438315587,-339.04374374774,-482.1037757409148,-168.987281323363,-329.6072484687705,-264.0904298558147,-276.9598678157487
-132.46174834494357,-213.83927753714164,-100.23998717750976,-334.61661183689193,-21.345752939274576,-390.69393619328093,-171.0229181018956,-148.48365435479081,-184.72496059273666,-124.39954205191812
