Episode,System_Avg_Reward,Rolling_100_Avg
1,-3763.55,-3763.55
2,-4161.20,-3962.37
3,-3923.70,-3949.48
4,-4197.85,-4011.58
5,-3913.97,-3992.05
6,-3772.51,-3955.46
7,-4278.56,-4001.62
8,-3874.89,-3985.78
9,-4348.99,-4026.14
10,-3936.77,-4017.20
11,-3818.00,-3999.09
12,-3665.94,-3971.33
13,-3746.09,-3954.00
14,-4318.55,-3980.04
15,-3529.44,-3950.00
16,-3371.42,-3913.84
17,-4264.30,-3934.45
18,-3719.31,-3922.50
19,-3768.32,-3914.39
20,-3479.08,-3892.62
21,-3853.92,-3890.78
22,-3625.76,-3878.73
23,-3414.04,-3858.53
24,-4139.64,-3870.24
25,-4128.21,-3880.56
26,-4122.62,-3889.87
27,-3762.64,-3885.16
28,-3739.81,-3879.97
29,-3604.85,-3870.48
30,-3389.85,-3854.46
31,-3351.78,-3838.24
32,-2832.01,-3806.80
33,-3152.54,-3786.97
34,-3131.90,-3767.71
35,-2632.88,-3735.28
36,-3054.46,-3716.37
37,-3028.30,-3697.77
38,-2911.56,-3677.08
39,-2798.64,-3654.56
40,-2825.10,-3633.82
41,-2603.86,-3608.70
42,-3024.92,-3594.80
43,-2403.84,-3567.11
44,-2692.35,-3547.23
45,-2562.20,-3525.34
46,-2516.66,-3503.41
47,-2634.92,-3484.93
48,-2686.67,-3468.30
49,-2493.09,-3448.40
50,-2357.43,-3426.58
51,-2913.07,-3416.51
52,-2259.20,-3394.25
53,-2475.81,-3376.92
54,-2596.15,-3362.47
55,-2788.53,-3352.03
56,-2862.30,-3343.28
57,-2726.18,-3332.46
58,-2276.42,-3314.25
59,-2428.06,-3299.23
60,-2262.35,-3281.95
61,-2421.47,-3267.84
62,-2624.54,-3257.47
63,-2613.34,-3247.24
64,-2207.73,-3231.00
65,-2258.30,-3216.04
66,-2639.02,-3207.29
67,-2418.01,-3195.51
68,-2600.45,-3186.76
69,-2583.41,-3178.02
70,-2349.77,-3166.19
71,-3120.85,-3165.55
72,-2462.27,-3155.78
73,-2567.00,-3147.71
74,-2118.84,-3133.81
75,-2478.60,-3125.07
76,-2391.40,-3115.42
77,-2314.83,-3105.02
78,-2653.05,-3099.23
79,-2209.33,-3087.96
80,-2144.78,-3076.17
81,-2364.91,-3067.39
82,-1976.70,-3054.09
83,-2445.82,-3046.76
84,-2110.21,-3035.61
85,-2081.83,-3024.39
86,-2110.87,-3013.77
87,-2077.06,-3003.00
88,-1891.24,-2990.37
89,-1884.18,-2977.94
90,-2066.84,-2967.82
91,-2153.02,-2958.86
92,-2055.45,-2949.04
93,-2040.96,-2939.28
94,-2106.11,-2930.42
95,-1982.27,-2920.44
96,-1954.60,-2910.38
97,-1938.56,-2900.36
98,-2059.97,-2891.78
99,-1900.29,-2881.77
100,-1823.55,-2871.18
101,-1998.82,-2853.54
102,-2103.09,-2832.96
103,-2330.46,-2817.02
104,-1911.93,-2794.16
105,-2048.91,-2775.51
106,-1895.03,-2756.74
107,-1905.59,-2733.01
108,-1852.51,-2712.79
109,-1780.66,-2687.10
110,-1796.24,-2665.70
111,-2034.29,-2647.86
112,-1816.38,-2629.36
113,-1914.10,-2611.04
114,-2012.47,-2587.98
115,-1963.58,-2572.32
116,-1943.28,-2558.04
117,-1943.59,-2534.84
118,-1796.42,-2515.61
119,-2031.03,-2498.23
120,-1785.80,-2481.30
121,-1917.54,-2461.94
122,-1950.76,-2445.19
123,-1855.50,-2429.60
124,-1847.22,-2406.68
125,-1825.77,-2383.65
126,-2181.15,-2364.24
127,-1876.86,-2345.38
128,-1698.48,-2324.97
129,-1762.39,-2306.54
130,-1601.07,-2288.66
131,-1969.28,-2274.83
132,-1977.49,-2266.29
133,-1775.66,-2252.52
134,-1724.31,-2238.44
135,-1480.12,-2226.91
136,-2016.77,-2216.54
137,-1765.56,-2203.91
138,-1780.78,-2192.60
139,-1537.05,-2179.99
140,-1501.42,-2166.75
141,-1926.10,-2159.97
142,-1805.83,-2147.78
143,-1535.01,-2139.09
144,-1521.99,-2127.39
145,-1436.68,-2116.13
