Episode,Average Reward
1,-195.56809746100353
2,-171.6645602924078
3,-192.87943152341347
4,-189.8772887918947
5,-196.92568055400884
6,-194.47524491767027
7,-211.3655145737752
8,-219.89274773380103
9,-228.64783761436433
10,-232.51221410660398
11,-184.67859507700618
12,-230.87301769167607
13,-175.96210651883396
14,-166.215947630499
15,-197.0226174695971
16,-208.27770122983898
17,-228.62641965491972
18,-204.69746461647694
19,-201.33804191310878
20,-213.77738922574545
21,-182.76310101397874
22,-204.32366046472285
23,-170.4195879094305
24,-169.69124432614126
25,-190.54317654783836
26,-187.83941544867298
27,-181.99951187913726
28,-189.16775254808326
29,-192.1388994422923
30,-193.02097440183513
31,-161.815638075978
32,-175.9411506886033
33,-176.36895430857814
34,-174.20810737527304
35,-186.83682000776273
36,-165.03152255333472
37,-180.19822366116102
38,-172.6929476665695
39,-196.70875170799522
40,-170.41548686160903
41,-207.13679475221338
42,-198.8991249640488
43,-163.17847901169242
44,-167.06413661693045
45,-175.30777704818593
46,-174.27607897390052
47,-198.15228919371484
48,-230.49408109598963
49,-222.49745862574025
50,-168.42359031183426
51,-216.7686038225343
52,-203.59666517907877
53,-177.76597152199182
54,-159.22355373807827
55,-192.66958614902583
56,-164.8165293590931
57,-184.51925105739318
58,-178.9590464845609
59,-181.89825999588177
60,-171.79447090870516
61,-165.940836184912
62,-160.41403662003452
63,-179.04841800200253
64,-173.45538277393405
65,-150.0536296381399
66,-169.26307420034135
67,-169.58761495179164
68,-145.27674688210817
69,-166.78698178538158
70,-175.6393571772289
71,-162.9865968896158
72,-149.33286336352992
73,-184.38506562143758
74,-179.8494985184825
75,-142.99831713591766
76,-144.6035491201419
77,-163.5210457923133
78,-153.03427106426136
79,-166.88336167075383
80,-161.36033764382327
81,-148.8527422824516
82,-160.72425839907558
83,-180.74522901033197
84,-165.24586546897913
85,-153.41746427485697
86,-171.77837665840022
87,-160.30269338554717
88,-187.90832782863654
89,-139.42057926940103
90,-189.68679719116412
91,-166.36296160352268
92,-168.38976402089887
93,-172.44898903957983
94,-197.3223585356419
95,-165.52268604333293
96,-232.63755910940378
97,-193.33252071995227
98,-197.27724241022506
99,-192.91312950173077
100,-224.17156501477677
101,-176.29728043082523
102,-168.75497104285066
103,-176.9084601592091
104,-156.79510999981684
105,-160.42605149118702
106,-159.9352700396443
107,-174.16861573377705
108,-174.31120272289354
109,-141.65999799819767
110,-184.94074286693936
111,-153.35566590368535
112,-161.03539438343762
113,-163.63758069432265
114,-159.28656898694692
115,-182.54229386247675
116,-147.74894424242163
117,-174.020808525371
118,-175.5570868362901
119,-151.5184664151458
120,-171.95860828869823
121,-183.08261371295498
122,-181.89239580256853
123,-196.50269485549234
124,-178.6994167470268
125,-154.2207233653456
126,-189.70543057991276
127,-190.35862645858302
128,-183.8110474477728
129,-178.90916699051027
130,-191.4618492008592
131,-191.49396035307223
132,-197.42741497685378
133,-165.77891589290394
134,-177.7322779516488
135,-170.211574039561
136,-151.72405135844502
137,-168.01537472116794
138,-165.40607900131013
139,-190.3980599623429
140,-151.85491890982675
141,-160.37337838046042
142,-176.79043648492532
143,-202.8942044677035
144,-199.2506356557955
145,-182.24716696111147
146,-161.27816121099895
147,-148.6526391436663
148,-152.87528387303223
149,-154.04183667349406
150,-154.53940142483054
151,-156.93620739434297
152,-155.54825257629417
153,-146.30734933053586
154,-132.9573265390662
155,-153.54541194730336
156,-161.8117860564736
157,-166.61870351496745
158,-176.90474623649064
159,-188.1420675134943
160,-183.15393374046752
161,-153.36079175060422
162,-159.07687354729015
163,-146.63071834868188
164,-150.02815725048364
165,-180.93222176118445
166,-150.8758813585393
167,-176.64816251421462
168,-184.4529777461687
169,-210.46232149867683
170,-159.5917827486103
171,-171.7230810379111
172,-203.5489964071037
173,-182.1635944306664
174,-174.90363618987712
175,-161.5612634162288
176,-178.53378309890823
177,-151.79906241549438
178,-144.1674877576286
179,-162.91812213373393
180,-167.94746983241308
181,-188.36178492072528
182,-172.43295398093778
183,-169.44131231584424
184,-146.67923128391064
185,-180.7669081145252
186,-148.4422658903709
187,-175.87910945672897
188,-145.87941241965825
189,-148.26919500407368
190,-148.26807848643853
191,-155.24199141879618
192,-165.01775838223253
193,-174.39589065744528
194,-158.9079232283041
195,-161.4879578678
196,-172.47344149477112
197,-132.84199154481487
198,-176.02219513749472
199,-147.3367308840038
200,-161.98816617540942
201,-155.49829030284616
202,-197.7838325475117
203,-162.70425309292966
204,-155.1292903827747
205,-138.88823712801096
206,-142.66987373200698
207,-157.765174335285
208,-145.87371468646293
209,-146.3392337727179
210,-160.40448564167232
211,-149.52862247820585
212,-202.01128960285124
213,-196.37975113140033
214,-200.86455214789757
215,-191.94867846742898
216,-173.94269188440293
217,-175.4492584667429
218,-170.2907680046601
