Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8
-3751.2968328819456,-4161.7184389535705,-3651.9575765845675,-3892.5635950163387,-3558.359518334878,-3184.9019359360673,-3893.9680172905405,-4013.6029138393956
-3906.7427962118936,-4111.092441527903,-4614.187877291844,-4184.667865981012,-4688.475950853077,-3081.204801953228,-4454.913478684901,-4248.334790319218
-4536.3166785417325,-4823.489676334597,-3867.347081317047,-5290.370863547769,-3427.3815163111067,-2829.561935162985,-3628.245959921961,-2986.8876307828705
-4240.83245875708,-4636.586654214561,-4493.520473780944,-4081.167011932943,-4752.459007697558,-1707.9787673715355,-5209.142689876882,-4461.137086129083
-4576.964163520151,-3488.004746117089,-3957.5417414466656,-5828.1316841646885,-3899.3115705131677,-1995.9970654400086,-3534.008067888989,-4031.8068649377797
-3734.0568086953945,-4121.755452729065,-4219.927948389208,-4548.525965631777,-3858.4920011382487,-2122.267371273314,-3408.477094122358,-4166.548339678254
-4366.629150025704,-4406.8672999929,-5569.368254141706,-3348.1228347093283,-4758.845071381682,-1526.950844825844,-5504.977240941773,-4746.7146869490825
-4277.166077614679,-3281.769366645684,-3886.121543772634,-3965.331203041681,-6010.693896059804,-960.0207616786622,-4372.742494445931,-4245.240776369719
-4517.39460304085,-7542.392643743345,-4347.850424571136,-5093.287067396223,-5141.552292636501,-1119.4486683717419,-3798.9280659217616,-3231.1017067465555
-4439.333177182733,-5542.195200026581,-3700.8507794498055,-4361.255953381036,-5996.3045233668445,-252.08731434446798,-3886.7759586441825,-3315.3834210239174
-5111.486439722424,-3608.55819830396,-3844.7094406237848,-3884.774481785388,-3355.907594313635,-1319.1835388900904,-4930.414521448607,-4488.948383995323
-3863.444174466757,-3954.972044135315,-3599.446193381894,-4348.403818879779,-3984.391508717257,-769.103244763328,-4776.280099804254,-4031.485175361182
-3434.0706401108814,-3606.860299368276,-4033.846566293508,-3996.5724189759694,-5063.1373872706845,-449.6733321015722,-5331.175880606639,-4053.3643808301113
-4478.50844135898,-5284.346858349308,-4591.032300168561,-4128.295378140416,-6015.777599753158,-415.12705582069543,-4500.81294205661,-5134.463910277591
-3587.792104250723,-3235.687202526161,-4966.029203472401,-3709.2458533545096,-5130.812222153603,-367.1388707566353,-3360.779718677607,-3878.013321439243
-4198.111539804277,-3690.823270737672,-4602.611680709006,-4272.638435474082,-4373.4290189247295,-961.946553649161,-1955.510923214473,-2916.2647744621245
