Agent 1,Agent 2
-164.4248716933809,-164.62734825007428
-194.86210044264664,-173.73860022944476
-177.67665649041507,-239.77176610209756
-184.0435863544418,-164.9657581168949
-191.02019283299387,-193.49193891486559
-256.17467428186256,-150.4273400955968
-310.7694654585534,-248.24225358948954
-274.8728176170238,-264.79978667686936
-254.07097753492906,-215.0504091829501
-192.35112508962902,-274.7877150080747
-192.15154176303767,-159.88490128309448
-151.83853288443757,-151.68640320831588
-197.67045816523313,-239.02623201552575
-196.595833394731,-162.91913160657046
-156.56538284536646,-161.1681098099257
-214.1363828276864,-166.90250339673992
-151.59961160012878,-189.2176249203475
-223.07079985117127,-186.2225498036358
-170.3647985147884,-165.43937028485811
-198.80122365580254,-188.56784562984197
-267.5864703100056,-164.2758220200562
-207.4040923415517,-195.94181302734634
-217.02025754883445,-159.24382111737373
-183.88568664235723,-182.97885937821238
-208.19362531664208,-184.9146522996789
-189.75119454649786,-238.3495653425918
-203.50879079050705,-176.75657226719355
-168.6379089100171,-153.98758752177565
-193.35413422372423,-236.67167176094887
-166.6105246232573,-178.90385488583553
-171.23470174686565,-148.93326068327815
-202.7814899186758,-164.51533242140374
-152.1086576425629,-177.11387649140156
-155.49564757922903,-144.28414769873183
-137.9826049562304,-146.67294042863952
-154.22402421632037,-148.11008473468343
-134.54623940987682,-167.26791331690038
-189.3405606159873,-238.4193193283089
-149.70399147556185,-145.51241475853521
-145.42310171893985,-170.96088227776445
-171.41351519676005,-205.73493415197984
-177.56863540198455,-171.55200363989368
-187.46851860212428,-159.74728995503804
-187.22791387860775,-184.92617522015698
-166.98887428123655,-146.046296631172
-150.32576547200557,-131.9495796728113
-164.3747422756562,-164.9964030915679
-174.7809775669833,-169.06883541673264
-175.40539172418121,-152.02652201198293
-172.1931179459054,-138.79260755029105
-145.86986562397573,-150.45000555028687
-108.8309417839811,-200.85224638278257
-130.24755276764145,-115.48812335567807
-136.33242755935427,-187.36514657523617
-173.36871773802847,-195.10926178640065
-166.7322089474813,-169.39140264651607
-117.16648850854718,-224.08416487727007
-169.8485095700791,-187.31964524240442
-153.2117913485013,-155.88675034581635
-130.04098533261353,-130.72168261083266
-172.58441282974493,-225.7452175323622
-139.47242492299182,-126.31455181665503
-149.27328826273487,-203.51130335052974
-137.8418265576797,-160.6183120264714
-120.78320736612315,-145.8134228755522
-184.89224561489587,-202.8919995103711
-106.53791973120651,-225.2807220975067
-190.07682557014226,-196.41971645216807
-119.92113569400908,-162.11549386016537
-117.64815464839211,-173.36947772522126
-129.31640722287088,-213.19414614256553
-141.59962239707357,-197.71032757796903
-119.25492828164117,-133.51459808012225
-135.3398867788444,-164.76364208504233
-114.02252748260847,-159.54527352350277
-97.47895027145556,-174.72617163172245
-114.15845259910836,-189.34985004740795
-126.07356406623678,-183.85936344044046
-134.2774384485589,-198.98950667531568
-125.63072925339817,-165.30301926015912
-112.46766108836044,-227.20017897666813
-110.84109860421593,-177.7075026824903
-113.34758492341025,-191.5295548959679
-107.83684064710523,-173.4669471522778
-125.67064971828593,-242.34964876332506
-117.02931767364906,-218.8031517873771
-97.47411034631565,-162.8728200344024
-134.22358991574973,-170.63866776858237
-97.56505552902416,-138.9394395051179
-118.08621072841953,-200.77816348668358
-114.96796998117945,-147.99937931598936
-84.12516879693403,-202.04490701874403
-108.23442102958236,-186.37943090596266
-95.12694005930464,-174.91057283279002
