Agent 1,Agent 2,Agent 3
-175.39747384696227,-248.9542777384564,-162.35254079759198
-186.22992874936833,-166.64135093013823,-162.12240119771684
-217.06249927786098,-197.8351374332205,-163.74065785915897
-236.50921769910332,-167.91263061213976,-165.21001806444107
-162.40794095946111,-212.04441129379538,-216.32468940877004
-162.18979326147956,-160.374835158145,-260.8611063333863
-189.57010808282735,-270.00717265648007,-174.51926298201823
-259.06864777552346,-200.74551541193063,-199.86408001394904
-212.98679600865697,-248.52566032432452,-224.43105651011157
-233.46111607742682,-222.75089532354687,-241.3246309188382
-216.7199009722913,-152.30140029970292,-185.0144839590243
-228.5741443598497,-256.8730000377979,-207.17190867738066
-161.89566458965862,-188.26841133558005,-177.72224363126327
-171.94785195223216,-179.08337121455648,-147.61661972470833
-158.9620670347236,-176.90764716182196,-255.1981382122457
-193.43105827240365,-259.8645871058082,-171.5374583113051
-229.23547026229608,-244.09773585261846,-212.54605284984464
-224.98683505078245,-218.0755004821987,-171.0300583164496
-160.13395841144802,-232.89757953775825,-210.98258779012008
-182.53365197083687,-269.12430029323843,-189.67421541316102
-198.05969945894165,-133.3853762737789,-216.84422730921568
-175.9131790752718,-209.20404639301958,-227.85375592587712
-175.462176267057,-145.25423261316442,-190.5423548480701
-196.30098222152853,-143.4126157474475,-169.36013500944776
-160.28693319256226,-163.1632379076974,-248.1793585432554
-192.59457196484445,-184.17069957360025,-186.75297480757422
-145.89147289674113,-189.7209915134149,-210.3860712272557
-174.4600935210806,-209.88743853031409,-183.15572559285502
-177.7196767484294,-206.73069572956842,-191.96632584887908
-149.89773960441025,-223.89866345676023,-205.26652014433495
-144.4085517632535,-156.5312522032076,-184.50711026147295
-165.60518767994358,-183.60802269299555,-178.61024169287074
-163.90833917876813,-181.3390552680462,-183.8594684789201
-151.719158075418,-185.89498648530108,-185.0101775651001
-167.94540838710435,-184.89634790850982,-207.668703727674
-151.389905179838,-144.89139824504147,-198.81326423512465
-219.81660395910671,-156.258791181558,-164.51927584281836
-164.40139583884195,-174.8322121928726,-178.84523496799395
-138.8530260516283,-248.15702140683385,-203.11620766552352
-124.04669351437076,-205.2925167379504,-181.9072503325059
-152.73205611465,-209.31028772924418,-259.368040412746
-152.60770437410088,-216.8818460142432,-227.20782450380236
-165.7394915100733,-140.09275895092313,-183.7031865740809
-120.68404009090882,-155.7847117294818,-224.7236580304007
-143.71099836477686,-136.17082111396817,-246.04151166581275
-165.97062652474577,-165.71125156059244,-191.14635883636328
-190.95211098436388,-193.30853718188445,-210.19621941489618
-237.77699243907668,-250.38344257871384,-203.32180827017834
-156.31726541464937,-271.99506932376704,-239.18004113880437
-131.44867283503763,-189.3066722706342,-184.515425829831
-185.47270001307638,-216.93144945983582,-247.90166199469067
-170.44740009848667,-166.50104125586768,-273.84155418288196
-125.09317105315404,-213.22566750280475,-194.97907601001666
-179.45511463587053,-185.53276467412041,-112.68278190424388
-147.86463460766663,-182.82779797805298,-247.3163258613579
-151.1273535211284,-146.67283978157744,-196.64939477457347
-130.70033510319516,-197.3442521348212,-225.51316593416317
-133.06381758785264,-201.83533450889874,-201.9779873569314
-171.4691650301983,-219.73968315184666,-154.48593180560036
-152.0103607537691,-156.19115920155795,-207.18189277078847
-128.50990232509247,-168.52022988028708,-200.79237634935643
-157.43373702106038,-169.8006693023567,-154.00770353668653
-159.5301691635305,-133.1977207492258,-244.4173640932513
-165.20531229647952,-151.30180926940486,-203.8590267559178
-174.06984790029145,-143.1178477588856,-132.9731932552427
-180.57469278068137,-145.980242839069,-181.23428698127367
-134.14181160079912,-164.79207928437285,-209.82895397020295
-128.82649828564752,-125.8155980280152,-181.18814433266178
-170.440920284999,-174.39539081587634,-155.5246342552694
-172.19021784601304,-137.78073743149542,-216.94711625417818
-129.3925088867539,-175.26944012970452,-184.29784165238902
-127.77431666744344,-149.65671054926725,-170.5675628738791
-211.14738622113924,-140.64603127179785,-201.3617793713757
-140.9342941880689,-164.6761544269895,-233.9380469403891
-135.17576416731768,-129.78302673442695,-164.03616050600834
-115.35488765893196,-159.24239285532326,-159.21336684617052
-132.4653479858064,-156.4159974049746,-201.6817919861588
-135.9857232483892,-141.8281926498634,-181.28889729453144
-142.33161696803725,-151.76189862845965,-206.55656941576456
-174.6203810083414,-111.52023920200166,-197.94039272112678
-144.37954873294035,-149.12553900495413,-153.05313910946035
-148.79268604886096,-149.21727366296088,-184.1628154854049
-108.69386240252986,-180.5200816680759,-253.0217429603901
-105.29035181448148,-174.33405578357863,-216.11318880887728
-150.22073444814782,-183.572880815514,-126.45877756090907
-141.57297362488518,-177.1465222895933,-196.6156340607222
-154.16753386321068,-165.54783571337964,-161.19271058005123
-129.50359236687456,-203.85709170757906,-230.36429941145605
-114.70162218727151,-143.44707026402412,-160.1130453569075
-190.85721499290074,-142.32154478690435,-235.88163179368726
-171.15318784721248,-173.81794179356538,-154.1177551697902
-146.23891899445934,-156.6810335373156,-202.2493395309217
-150.7331213664545,-150.1668592448735,-216.44698650741148
-143.15293929733159,-202.65968487909748,-246.1544514304967
-120.61220378605655,-187.71938019367894,-188.23647415026323
-168.69059378614017,-312.94657671971027,-216.2755068223609
-153.3496562350368,-203.01900307446576,-223.6289028503542
-157.18138279250195,-248.98220074362666,-185.66814369454647
-166.35429421901318,-214.10944443181427,-198.27564985436484
-177.33460351752709,-221.3649431750755,-273.8151483517277
-133.90585931074185,-194.14072213788455,-200.8452598438493
-163.97068829321992,-171.96719308178214,-170.32703175354987
-118.666615026414,-246.59882889320068,-165.45993655801269
-139.13231240019815,-165.81101931691427,-165.44199828233812
-130.74598367747598,-157.15202739773812,-193.38014339834697
-155.80533031399673,-137.2985156423599,-186.7019641625763
-198.08984127420246,-141.74947077138106,-182.66653515574765
-166.0328872418468,-145.40931467347596,-211.49140625335787
-133.23863209868253,-107.89119145450921,-183.85017044140125
-154.67509650936944,-199.5240418243206,-200.62309026712808
-134.63404904493098,-155.0704893386627,-170.36245932746237
-141.06138146497634,-152.58821896496474,-189.4565827203718
-144.89227804736925,-124.53832510249201,-221.48213893310668
-118.049693141205,-164.70067999030897,-195.1093338293268
-161.96266899429435,-178.19396952624317,-207.4702430668927
-136.1021414435131,-165.5405101078682,-141.60418117588358
-155.46291431672893,-153.43038948524824,-213.16912177413587
-129.0816587633317,-167.0055576193328,-230.58404412620587
-154.49196187685735,-132.2216151500344,-167.84182221854573
-131.51986209388306,-173.55169267539617,-210.80427009681543
-132.16360208923732,-195.77365500774465,-221.310584041883
-141.0340822925717,-201.84672031288673,-202.79638480224716
-130.88701035002117,-194.99775126385083,-263.623322952605
-105.4367946437874,-176.82104496363655,-253.84041063365643
-105.16746598519524,-125.99569734262398,-231.49900676821758
-121.47984650880028,-201.92474105842953,-245.7117041725085
-153.6149616091486,-217.54467759333932,-199.9162401732612
-174.2691930685094,-178.9353856106234,-198.22856366418557
-114.81320508845255,-177.20885001398716,-244.7054458690912
-188.34044604727225,-194.1407297072263,-191.90437184807905
-144.3533986640683,-190.34905668309582,-239.77942571205259
-112.91884377597731,-226.74441861250682,-252.61898254207725
-160.03647840461562,-118.53462588349075,-218.76564339060548
-127.84108804502631,-191.08947538328272,-214.26627042663733
-122.01550912035258,-126.72764331075778,-261.8915696875726
-164.6148163565191,-161.58342206605798,-128.973915652758
-131.98140598124493,-165.20147660719115,-206.86324157506775
-112.22855100552822,-161.94046310433498,-222.0492228940672
-174.3191635048662,-203.55607876713515,-193.3189376150273
-104.40117978045149,-184.31916651451115,-166.84441043451756
-155.26666438720008,-129.8521023641071,-196.00136839007408
-128.62315365311804,-195.01171003421797,-206.73644576743996
-194.70725717063846,-160.55518911762647,-253.42016711484553
-150.31137458057907,-177.54156368465098,-269.8989687021565
-153.7917916039854,-150.45695726358124,-242.49275201576782
-145.09706950739482,-150.06665945415537,-188.6707546714466
-130.93864610234442,-149.10630592843188,-165.9129654002226
-144.13385580037976,-136.1084087117251,-178.3835871069918
-116.44830391856361,-154.9071338484097,-190.77007225350886
-161.65865103180124,-136.3363327103516,-165.62322053233876
-106.28377745730744,-147.29034635501498,-217.23449837070655
-176.94401212869272,-131.64978702153752,-158.05095857865226
-147.77410189872933,-143.77672260744507,-147.37122348543315
-117.67432851255018,-112.78485222305599,-168.41279888159247
-145.57764642378234,-143.34540307755955,-171.7131863405682
-118.54280882899869,-187.64268532700424,-179.24986401341795
-139.18331617639282,-153.91422553688,-206.75856883162956
-126.35564266363092,-169.73219989963818,-234.6263961462028
-145.18954329484973,-151.43595970287694,-267.8006995427562
-111.60829224427775,-150.08093255316834,-287.7725764239565
-97.11068842418081,-152.0082716323727,-210.96341519525916
-95.22720713317926,-189.1354352490947,-192.8679782595965
-130.42414405588983,-132.3160465831935,-177.1519644069623
-127.1034691770264,-143.75916997222723,-179.22183260219728
-116.17387665688193,-175.6269884235231,-250.9958002031483
-98.20957224691179,-131.18494280516802,-223.23312902353805
-112.189922450522,-245.2543365715138,-172.50022852060803
-130.5531950552982,-199.63908286975237,-223.16665531345558
-114.27880565537293,-225.59946268214358,-291.50869615851394
-94.94076699304527,-159.8944426780922,-223.94013857469344
-136.4564428285611,-168.2023258568668,-210.51047442830537
-148.76200992102474,-204.64135665335007,-257.2436226469363
-135.12912534744467,-189.2279270309208,-222.1337309136337
-127.96946162548225,-153.21121743145494,-243.53022951269418
-90.28071090900984,-199.49747164345305,-194.9056076962235
-117.66112217633193,-171.14128410564638,-246.79894301474647
-121.99740807658077,-163.76430417129762,-169.63547499860468
-114.85650898886168,-160.08943126262727,-157.5565230213969
-125.74244349581372,-143.62372534293866,-219.38819756244945
-120.12067514119116,-168.7635918306474,-214.95814252540063
-132.55560248612827,-172.6125520682644,-259.91720020778314
-143.96285258198887,-136.80030449379237,-236.5357048670321
-120.96470619091662,-178.7139497404531,-208.64528101616304
-112.58382472212952,-152.33476975282838,-175.11909937677402
-149.49046141182905,-144.88927295356427,-247.9209899781822
-131.57949817911168,-157.6020006216444,-156.14529887035658
-123.19255666811549,-161.41820405472447,-243.02656764734692
-120.87970634229332,-145.4215656297536,-171.33696528692786
-96.87808270134617,-150.59712280672156,-197.33237950415332
-114.1088217396729,-141.73886677051502,-188.95654694912767
-99.33054163044638,-137.02708877884328,-229.36834384709886
-112.25853311175118,-161.7006817568604,-221.09406027808598
-138.43354155626415,-164.4242291511342,-220.32990126493743
-145.98595454212733,-160.7061018469544,-170.03171329583057
-132.60347327350664,-185.44540444338534,-166.41499588650802
-111.58216407655752,-171.0457563740627,-234.7924040336932
-97.95113778673003,-133.91721316628136,-166.65762368143322
-106.26369212564146,-192.60807664865598,-229.19481663818678
-130.69897055203765,-131.42006323480413,-179.89115886516961
-125.48652781298316,-169.99010169408697,-190.48786901915813
-122.1295017810873,-164.456026021235,-179.9093431062162
-148.07795068461903,-178.41470696159823,-266.85883999631795
-113.02301624220117,-159.44422186181646,-215.64552117477135
-136.24086967386282,-148.17220050996826,-180.97480096449308
-94.58865588635683,-156.97957891867767,-165.09647657899833
-116.08828487633582,-110.70838401934832,-201.2129523003368
-112.87126213718844,-109.65450614750198,-250.76975472116456
-125.92740575039102,-136.5737727143957,-175.11996559460212
-99.89681583393346,-151.88863833702658,-187.23224714719368
-135.40834064353615,-128.2280094496856,-217.57710683179525
-95.74412569243688,-154.99702189553008,-197.84471984665058
-115.78050781849487,-132.18040854153952,-358.07295244851935
-121.58824557756127,-185.8936178928387,-281.65738992380096
-130.93193316716767,-138.17258681749774,-333.48913645902724
-94.48156379845649,-155.32255369862833,-326.04191790520207
-106.65259633142419,-141.62505328462998,-273.55042603715464
-126.88858514264611,-134.97142006841628,-264.48777018916627
-135.73544377819664,-131.06915085329547,-244.06770938248815
-125.02382604225848,-173.35427893355546,-219.03486219353482
-110.75171232622321,-126.50749864802059,-209.86970832973583
-112.26988024042642,-118.68114730220435,-212.26497459501948
-102.05545292559859,-129.100433833328,-222.4996266041709
-141.75884556303123,-155.5612756197134,-198.69518084840493
-105.01103745465306,-127.71714411933185,-166.7681554671161
-104.0483590045435,-119.3511652119531,-200.1474210647389
-133.11647376289665,-191.5481876487002,-255.13919901071637
-110.12112330244472,-155.12326620826923,-291.5339652409764
-122.64163331344007,-157.5474277844792,-185.02350202364192
-89.251706101,-161.31279741485164,-246.58060106813736
-181.36295778120845,-153.47919609951492,-289.14559156240193
-114.78213808937474,-123.79110624962986,-204.37617956751203
-129.4297699559925,-135.84936555051323,-243.31194692461673
-117.40419959009762,-177.39458364818123,-220.77585920574137
-119.6173125554235,-120.48789916404021,-196.74187248656133
-100.32701864541446,-127.37163953952644,-182.41069597890433
-163.66152067321812,-114.12588324823751,-268.2851273330346
-85.23846368291134,-158.9071733352633,-303.39177909438206
-90.3957706253116,-140.74395965286678,-236.5196304783082
-109.2526584561859,-200.50058216222232,-223.91784662721093
-154.59443535170294,-158.02579195384138,-198.58578226291812
-127.41612888790512,-92.44093841406865,-215.4170551041057
-97.29010987785348,-124.07965176187764,-212.48809844330876
-97.96398019438057,-117.01371337672825,-198.8507980899105
-92.5645177800554,-106.42143816590794,-216.19436871428738
-82.63880282739748,-103.70620804817966,-251.4023043002163
-121.69872596548034,-128.28662171318143,-196.04739089259678
-96.9732670700453,-134.32382980884503,-336.1487406113418
-137.0368004568564,-102.62860327550469,-256.8570766639147
-155.31994290751862,-154.10896690550922,-325.95225457425164
-121.64823824898089,-124.22879953285147,-337.5287090689686
-118.48006091564088,-179.40269737247226,-314.0447424654199
-137.98885050141988,-188.33826186475355,-251.6374297402831
-95.73980335570114,-130.7455442159035,-208.3370533423297
-115.91743993172577,-134.56530368715954,-167.53707065092368
-89.01094619187734,-103.70360288104152,-241.50473385685922
-90.44343564623776,-141.34740340941886,-304.6416083955711
-118.47646514939498,-168.66169197589127,-274.46053908636844
-142.26271700781993,-131.93090231663268,-170.44258865170423
-84.50678403058347,-147.81522817946603,-195.11925778792946
-146.43696235741552,-114.93645867691855,-172.10714278961893
-87.78339112866381,-109.52630157217999,-183.01267138365014
-127.89660208481813,-136.24161125798634,-181.50046042902568
-113.30504925629216,-97.05715838771975,-206.09479495026682
-102.34785426860336,-128.17002002168817,-234.1848950611967
-100.22846043419521,-110.38159571642866,-228.1288932395571
-107.95945176248328,-126.04321161123876,-240.7372623282483
-111.97848147891352,-122.7955990684059,-226.13577883531707
-110.27645041500317,-107.28341607599481,-250.5655527590527
-92.51801789277886,-117.31768029784581,-212.60547271825325
-112.86078729438417,-118.52186128571739,-220.8388799871684
-106.92918939057893,-132.89967603881456,-236.85394293075592
-96.99550645664804,-104.58403740399922,-166.38751001340523
-75.14827574076892,-108.06047050016502,-218.04145545351548
-78.75383031676235,-120.0055176513718,-152.72659502348938
-118.48089389773409,-112.37218061367898,-206.54411838063552
-119.7013715575973,-148.76759820286668,-210.2046679694144
-91.71015075254667,-140.77866611330145,-180.27122689695437
-101.83351080516474,-133.51937958040077,-195.93632306294344
-108.70025218426504,-156.0948366663271,-169.0889865164285
-112.3858227456662,-127.63709893996524,-183.06157033144024
-111.53353741996516,-130.12139509372054,-191.14610422040028
-95.7980746247279,-108.21027249595753,-207.64218633297446
-82.8530428237161,-123.14970868439632,-169.73763666921622
-138.44524061103158,-146.16301542831292,-143.37463262157388
-57.036943034787264,-136.9260046849705,-187.18639025218943
-84.26862347995133,-155.65372217753125,-214.82689588404776
-112.70568257390262,-111.33709628997435,-201.98396148998143
-92.18717521831188,-136.1159305059109,-163.8469938597811
-96.85327348047814,-157.21702533968997,-151.47125640865661
-105.21340899708579,-134.19293718071054,-223.55135934364088
-90.40911431354473,-136.73734258467053,-145.5909200918673
-92.75888433056456,-126.74774150516288,-181.90540521731086
-92.63040006576624,-155.67606075043574,-161.28412441873022
-91.50547741929259,-151.90082599409908,-175.56449093063594
-83.56775291191569,-116.23733530228492,-195.25020760449058
-88.041530017461,-142.91355996215907,-229.76786085287912
-93.22165610001548,-141.5899258052987,-202.88362107009957
-88.03580906691025,-135.37838294399126,-170.6336657569714
-104.16931360056603,-171.1785446073492,-194.65018407837889
-96.60570427207671,-130.90439618478206,-251.78399994606352
-86.1509256054126,-147.6626175192415,-173.1705517974223
-82.27710079565824,-133.4613922615771,-156.49345436725292
-109.15290967894335,-156.8904574777539,-182.65986611810914
-99.29990471193229,-114.69902290992158,-188.94381501861608
-69.82615579861852,-123.94828804464214,-154.37551866353283
-96.72112214454494,-118.1546665296325,-265.44963229688994
-104.69082845879917,-127.47322027085681,-172.27790150428208
-97.46327193502879,-170.67297283809572,-180.59504722704295
-146.11573405131125,-129.43641305297854,-149.94434126181366
-132.69754417633808,-160.50669239090678,-169.60711424104755
-96.59390481828186,-108.21729387206588,-183.36896518267167
-67.99064804626468,-166.50879299683245,-148.15893030466907
-86.86730697866206,-107.11689075400768,-161.43344136430122
-93.93718119425677,-131.7738506996467,-166.83733422639443
-89.29052484844365,-101.96709207826065,-248.89251320777396
-104.61430368809425,-140.72545984356117,-196.42458680738787
-102.45520959278784,-109.9702446280142,-243.4879320634168
-131.24860529385955,-113.78749174603114,-223.63516378993313
-95.7366124941397,-117.33253884049694,-169.40512047660516
-45.181295196955595,-127.15090734517878,-236.84227731667593
-88.98592111190894,-116.68069286897828,-262.16742575714727
-97.15856606316918,-125.04175080608762,-243.33562464101786
-84.70358764093541,-97.68441386521259,-228.68190915716482
-93.56445304785498,-118.96985067472673,-214.43338648649316
-120.2625534324057,-112.41353229108678,-219.01649806960995
-78.30860202793592,-125.35901032100399,-198.9590110026886
-84.98497777509209,-88.75815701256217,-185.50618570869855
-100.99461348010256,-101.5938194534059,-225.9735303208714
-83.01000982031086,-97.4422449236681,-207.17906123486406
-75.85429291242623,-86.81606322866118,-224.29490044720342
-118.80527269939108,-108.80455315446137,-261.47637284746
-116.56963436253422,-101.45119751443286,-211.00584780286226
-76.07818600293128,-76.23382425019895,-245.86347171438632
-75.91182144374248,-83.88509577836054,-251.88403612721254
-86.4863070291048,-94.9344747057822,-208.06111550953196
-102.03901260912313,-115.8610875597457,-230.79046873642852
-81.6195998167343,-75.4289493283054,-162.76154661367343
-97.65183730845948,-118.84556349705694,-198.38196543029687
-89.42957589520452,-111.86059157739747,-212.647852639928
-64.66234673942988,-81.64345643511916,-196.50949138152455
-91.77101205418141,-97.14789384358177,-192.6045919791831
-233.19571873888867,-109.53995462712001,-203.14409421188702
-115.33381905740308,-104.55966915424807,-181.3860368500195
-80.13263670648857,-73.26504136843418,-209.6870963622488
-101.92954684117575,-78.93252988131093,-163.47491724908116
-53.5433929879909,-80.23218955588321,-262.3313499693754
-50.184157281968375,-113.2749287409188,-212.38973015877028
-71.00059388656499,-118.3466364642577,-185.09070920520153
-93.8330818944241,-116.48335247418048,-164.21962567111566
-65.16253670609856,-68.13864559022129,-190.39619406300955
-61.334471831397764,-81.46140791283837,-237.54178158801528
-87.48547816974295,-144.3468892074475,-214.5638898664665
-147.20929039646626,-67.74779308662013,-189.71844745578983
-100.15034409005781,-139.36804696111324,-220.24659627738706
-87.03480538885265,-75.22530556413582,-170.2794145459476
-80.16717602110374,-96.86587254005005,-187.03988741839936
-72.51399452352383,-99.75315178140002,-203.76518589952693
-24.949987002233165,-94.46553222550129,-162.9791741971484
-78.1844507809542,-69.05737550354213,-203.6466497829758
-123.38079540051552,-119.25032629919266,-184.8791844677657
-50.384876074057054,-80.70236578509267,-211.56781271865634
-79.91199594646115,-113.53477518907158,-278.3089017653652
-61.90775760163097,-49.97211619008686,-181.62621643638704
-73.93418227686251,-108.36097715073068,-220.35554369788835
-88.98104749351756,-61.995936982771475,-148.54023132683744
-80.3803777978761,-102.77956179143985,-195.4526392947575
-81.31477093257722,-95.33684930862856,-208.27526065674616
-113.74601834975965,-73.33798657500509,-220.092072196338
-44.27992433865826,-86.75211136774459,-190.68081223156287
-56.326052665927335,-131.68306897367145,-168.15350449349074
-112.60658846571542,-87.96099340782517,-179.4267574423204
-65.25426118096685,-61.15020839292269,-194.78393912660027
-135.92662776391413,-106.15257497411092,-184.25472397146632
-69.41230283242183,-93.7747229822585,-204.96307884957878
-74.25123090653125,-60.38288229446375,-189.66843756909986
-82.65222264447694,-88.05047272606528,-260.08462083946165
-62.632767309627106,-70.45967650165146,-275.9363126689267
-105.94357138316239,-80.73630791154892,-214.21221599873343
-39.68740560709216,-51.7172730229082,-235.32893450751695
-49.67194902342392,-82.16756539379656,-211.67443111095488
-54.98950228384209,-92.57909111204584,-159.29496917583876
-97.36754884120043,-90.7013215346658,-220.20924755753452
-59.32367541896246,-147.9166197777929,-202.16565028066557
-51.9880634859489,-132.59627974979244,-160.84126420776803
-35.336988402154,-73.76062239371778,-196.2584514504735
-105.93945698776594,-96.90277034793257,-220.96421522211693
-29.423098309043894,-72.19548151310339,-208.84142960045867
-46.536234981787175,-68.69655787749427,-210.39466882919763
-72.58823594458782,-60.08623042155499,-217.70783842156845
-54.49198970081562,-141.76078901595235,-156.92597974070384
-40.005803977026396,-73.49532447415176,-269.19307623414755
-49.54582077626841,-53.09543534398538,-172.20628939846065
-134.56045894903616,-128.91798116957773,-259.6229071287464
-56.245115826667934,-104.12766744451798,-184.71109300392692
-82.72774899576129,-51.21062575399407,-214.98461134317515
-33.48111646463782,-68.39995277873511,-228.9250441427354
-83.98878063498387,-69.15539654239952,-200.3796493235721
-91.06369976592603,-72.09145393232582,-212.78252995467193
-67.71862101426336,-48.825098828565984,-182.06685560259305
-10.065226180614355,-123.85304806854316,-219.19721021178276
-45.757849210018556,-60.02950803029895,-267.26868264203085
-44.470335385209474,-66.98570710045902,-277.6982035253534
-37.89502967579198,-123.27681487691227,-202.8329308462991
-123.2602900401073,-67.26350456823151,-201.05014077912918
-29.31227566442731,-87.66740397927056,-195.76068354540948
-57.56048057456135,-63.42405052189229,-304.24475699239025
-50.16757461861278,-44.27456765204053,-263.08090633014234
-45.95207598699122,-102.08859544563768,-216.45024942295086
-65.3042414496542,-137.98399055592512,-192.1946918313229
-54.92073220064646,-75.49538118754101,-148.68080106177504
-41.08848517880037,-79.96265986616348,-260.9391875926396
-75.05285582472833,-68.96423065742148,-222.6363769693856
-60.47760557048873,-79.17110272250751,-220.90361727323793
-54.68133927132347,-76.76151544621058,-185.4669687141672
-97.93444171029651,-102.4059460698401,-224.64891092053622
-44.483030098883894,-86.87629042065592,-259.76838969523834
-44.781181224878075,-72.84032927076434,-177.79755245975642
-60.70123594984144,-97.12233481923124,-164.97735918596072
-49.00791868579735,-94.96130746147901,-196.38156603133552
-99.97584653304318,-65.60084469710797,-249.43360850835563
-52.95463240464675,-67.56690830018117,-269.01819592530546
-129.29580264229506,-91.80482417478574,-251.10717403910886
-39.77717615218011,-81.95450385457188,-211.68724877739558
-55.25615013362747,-101.70885605567102,-251.38414944653258
-68.89798523343211,-79.77920623026168,-224.6874210453219
-68.85194729432452,-59.112393124636526,-369.6126557895169
-53.10194200180217,-128.50167890692657,-202.26541262299256
-49.021468260270176,-75.78983666149874,-193.14942058422423
-57.15731342898016,-65.1887766756121,-231.73962856816004
-69.04897217753586,-102.5330578966275,-135.2695870810905
-115.56601618093973,-52.63585061432618,-262.0110541053425
-60.141991468516835,-82.12987671685015,-247.7517227894819
-44.282932689238926,-94.94729735443299,-194.13469602280543
-39.984995585289965,-70.84870229381623,-182.86252507319765
-46.29550740152355,-87.31975579741646,-126.32875193913806
-40.126665677535016,-59.2000584307052,-221.71915843883255
-19.55896860896102,-72.68686658022834,-182.2732378747962
-52.015313801246705,-72.31335160214242,-215.8963690010629
-102.4488942304718,-215.65804973031035,-202.9496918334419
-96.8943488346719,-77.3409980026626,-218.20656894433466
-66.5358814713791,-57.655127345686324,-193.51014043504068
-94.19202398123996,-61.95470960829573,-184.4627075161595
-69.17635488405179,-101.0343504094762,-199.90524095596228
-153.5497320626568,-124.15406757291221,-171.6375124837392
-119.0382903482445,-75.02104938850071,-222.19609166405374
-55.5285071983109,-45.0722764329198,-348.36713816214694
-54.165525957638884,-136.74323658040407,-187.30719146299032
-1.0589645335153055,-68.86535418515423,-216.04322255014952
-74.26234289705947,-52.544486399636064,-229.04348001106953
-69.31113129563525,-175.24789828110022,-192.03944583975021
-40.33651439581754,-69.77239200338525,-383.1499641614559
-76.66696137182666,-74.09531608512088,-250.4157872393498
-97.53381005340228,-51.29029725348471,-212.6074441717642
-98.30740675277258,-68.90029984514328,-226.02385174608705
-79.28858872092711,-79.16578861328085,-188.97147564580482
-64.25145654023574,-50.72564281501257,-259.11133875071073
-53.606190834491294,-58.59845550057805,-236.0259360544446
-64.18722858546556,-33.13703013545792,-194.37223235852576
-64.16590597616816,-180.35310632383622,-244.39797946017467
-26.69553712766387,-77.828131618183,-251.622944826111
-72.85020899992757,-66.15704231192517,-281.897469137331
-37.19634413959441,-63.62144791775236,-183.52362236056882
-41.062364254641075,-125.07223929904242,-268.05482137252244
-138.95553429426818,-61.849382498021704,-253.64710927657325
-71.51554067113993,-50.611507250709145,-211.21324284301215
-31.182903574332688,-75.51760809606664,-303.6939916919696
-30.187158250935493,-45.184657806031936,-327.9238506552675
-63.67003363689762,-72.19478738079985,-179.89927199546355
-32.10849822758398,-60.905835405213324,-191.73775092078992
-31.88695979818092,-74.33411370768025,-208.0248419861133
-60.07035322982421,-56.44226703966858,-333.8817554174182
-77.76466493933297,-70.16432552224835,-273.10178769445565
-53.790373213581944,-88.89931386587985,-225.88437680698274
-114.68383930296132,-65.89699584477295,-175.7042141561751
-53.038698401386604,-75.89698086868725,-234.08777872764216
-29.497288451598248,-53.879922429443646,-311.70081838683194
-60.30473131200421,-110.01591125401019,-193.65853631167624
-63.66525040469665,-66.99844353487765,-179.05407534974395
-41.22636803679266,-45.41004738359577,-247.86736671140275
-81.54676333002514,-54.743103500191516,-164.89226822550896
-75.59969676810759,-131.78272838072115,-270.0766440720622
-29.692746195509258,-68.33290974643717,-253.1373337790693
-37.77797206663144,-101.19589910181496,-190.8429940912114
-8.721489964318877,-97.79255436068887,-200.11407796001612
-38.09502432347523,-30.132662238870157,-193.42893820096015
-30.329004557613935,-64.55182922029638,-357.21338903135006
-23.965295548487113,-77.24396022033712,-283.5571427776315
-31.552519198121665,-135.87771248961926,-223.79541474226716
-31.711428352185337,-73.5864455220374,-312.3003001783192
