Agent 1,Agent 2,Agent 3,Agent 4,Agent 5
-201.87123781723275,-187.42378284721417,-178.2015352063598,-201.46728143376583,-193.54578178318988
-207.37780258590647,-196.0172982276094,-152.70711925746835,-174.29097947920957,-188.90658920768823
-177.05098120069843,-207.4978249773009,-152.5935517896806,-177.64813229076034,-274.70184940932376
-223.4639989787682,-223.94885193861296,-208.71008795784647,-260.17020660434605,-230.7481439952562
-201.76276134269267,-180.67196573666624,-201.50062519778228,-168.67069369672936,-199.36291312637772
-172.3525391363053,-186.83917545661066,-204.5427292688525,-182.71022543890345,-195.33679871156534
-186.5221143056038,-236.4088259852346,-175.150515722407,-217.8456845727461,-241.07953256784907
-217.0409793242901,-195.04991256730727,-206.72994370643355,-187.29038720123634,-220.5451330191566
-224.9626770165406,-182.04456286849216,-187.39280375289445,-162.88733329952237,-315.0366957622875
-177.91770219143845,-234.4430385520552,-199.18096276374115,-177.76416541086212,-341.67341626103007
-164.96411188660153,-186.59857060547608,-171.92022769175216,-209.28142063812052,-332.20565979043243
-216.77309773743448,-177.54555369560498,-179.36352284781788,-184.88680812477756,-224.11733380542682
-198.35825388230168,-265.2114340767332,-171.82717807289907,-150.32522782790846,-235.04608384746538
-208.0931016404038,-224.66762138619828,-232.24570603544328,-148.4896672859725,-392.34414019614405
-192.84541234928273,-212.4888313955714,-261.94760136505926,-171.22766505812368,-410.7611613176444
-183.1147551415149,-192.29289002548094,-283.4231570444931,-162.47240066787688,-276.9303101447377
-153.74920109656344,-215.27901802192483,-232.0645010595766,-152.0617790123654,-353.14101005186967
-174.69053546378308,-204.98822739097236,-191.78325001824413,-162.77172976064165,-304.2991375563299
-143.43873566342702,-172.8893804382865,-224.09995923238094,-172.42694410164592,-292.2993542550513
-156.97929421392124,-189.93723985226066,-178.7453382126348,-171.2496426028622,-251.9880826033836
-220.87459672715713,-160.4397910947535,-196.87631975758183,-148.70036684343222,-295.65627890742496
-150.77425279420623,-115.57875551224379,-162.69777905623351,-148.3510189440292,-145.25721721435045
-174.74641774666398,-207.4341588212792,-195.77196609555742,-162.44918402408115,-211.68174340832567
-207.77996622550043,-230.79542545584675,-144.4107768998521,-197.49939770560098,-178.13102529458507
-186.17265368003135,-141.583890712119,-208.25692312852854,-160.61819234229787,-235.41958458619362
-166.47029048678232,-224.4969988016639,-224.1460741345876,-128.13767469112227,-196.77761197265573
-178.84921777955276,-219.24239499397746,-190.59001541132153,-145.0221856478421,-140.77236212968367
-160.6539197809751,-231.77533729822463,-241.3229759542117,-133.70261747968664,-142.83133850995793
-149.00899971630577,-165.25802788261174,-216.34719919868812,-110.51345843801667,-147.04665595144039
-125.34151672322538,-176.3516209332525,-215.63074482138802,-130.98734532087337,-204.6205623772
-175.36470182197544,-165.70164787388555,-200.12672060807483,-123.67075761702642,-172.04241738542805
-170.16044831356655,-239.6103441677711,-223.18718411030767,-134.3575716059764,-214.12038907064132
-134.70959878219676,-213.6911819837376,-214.31391732596396,-124.88541576915858,-123.28530563561802
-210.00890385408806,-233.69597503924902,-193.111016248242,-117.93870776465936,-109.49383361119095
-194.43051434768475,-164.1799366939249,-243.7049903230321,-122.14089281536936,-117.53600913168931
-197.42002781082945,-177.98571082874884,-291.9435507943807,-119.19446578976692,-83.28103908390386
-173.15655121931687,-177.47194818832796,-268.9945312922346,-154.89839705323627,-152.35094941662624
-160.88249887681098,-182.18427255576577,-270.3594314216141,-116.74597327012478,-124.282285987633
-167.465619425305,-136.76455833547993,-209.80966502416808,-240.8286751377481,-98.08962097439539
-131.24148047010306,-209.39275876091222,-183.0907808966444,-105.2139833223623,-119.73796793385858
-132.75852070873415,-224.39799254834094,-196.61505630192758,-145.52010652079554,-117.66387236323872
-182.27984245627934,-164.94897069002667,-187.03932864635823,-118.19877664187567,-120.8149884462266
-171.91025190604879,-199.2936114432919,-247.68670429675493,-109.93773785445734,-113.21551001793341
-152.8184023495246,-187.51193696872346,-176.14228615245594,-58.95113988197371,-158.14356569807575
-156.9873724738751,-152.48464658965534,-232.91171181087543,-118.6084407335615,-156.28145168891166
-160.06405281890537,-205.18303961932827,-200.15008862785658,-120.90663532032728,-253.35017534503547
-176.43092396550685,-183.6028339371967,-233.20612593749382,-84.07790293632162,-246.9848928912677
-143.34220596105314,-288.79333290296995,-191.6123025726963,-68.37574668898179,-176.85568229054272
-210.7801144941738,-153.71133750821286,-196.77694951906798,-113.41567257707314,-46.27860371882876
-179.7617974419327,-196.45368689021205,-176.99735460576616,-46.57435102575807,-105.00040982963594
-196.34795968430169,-229.75332101056256,-212.1169713134403,-33.35174645434446,-102.41602233271773
-170.35208418739302,-201.4929035251639,-167.89063212469588,-51.91928804309169,-169.16611796440222
-207.95296665563413,-214.90601154208684,-240.2673593565859,-44.064120354945906,-135.00783415938136
-217.28365695700177,-203.422279567652,-209.80462128374953,-44.27748246101184,-150.83059328484865
-164.79419169167352,-220.44039402891022,-188.84727523485378,-28.03401477614179,-90.41817998008312
-162.50424705746966,-221.50836555196656,-217.78189308563455,-20.196860166024774,-49.61449210437736
-109.0572965911807,-181.02246764356536,-235.73904109001901,-19.317821591269766,-120.68485559974471
-132.83556218362426,-224.56157330172059,-173.03119382053995,-78.28272984605742,-51.782804385286965
-186.30792237864418,-174.98055832340052,-213.42155171847565,-45.38392166077587,-102.11762915029232
-167.6188325577194,-194.8611801819522,-261.15950942160947,-38.2085154013421,-22.315670976072905
-166.43527578541142,-240.62603347461314,-200.17489245085548,-122.1248453844272,-101.41532000497162
-194.07334319827964,-225.1088444298772,-214.73917152742436,-45.28380639048469,-42.43359489851791
-179.38939716377288,-158.4922877792259,-205.4539413612209,-81.2374371716728,-34.01447231271421
-136.5672166430834,-181.60670730980868,-194.22352983435246,-25.756274748506502,-15.465882812965692
-195.51036897435088,-170.69839831696572,-181.9779181381539,-222.02033357520077,-50.6000032490235
-146.25505653422334,-182.7890691215073,-245.9331779487232,-55.87971009082465,-144.12254079827954
-126.65656745364437,-197.76891409507286,-169.08395003640652,-40.74008388206007,35.154682551166026
-148.56829521712638,-167.09216849343963,-201.86491255912864,-76.05530919913664,50.76555878775853
-138.48363444934307,-168.35659047092258,-181.4685069008731,-146.03013619527977,-54.87898947842316
-110.5857802834768,-162.02293329422636,-330.0945346938622,-162.59707798485783,-51.571486138680065
-169.43449786106413,-189.46444263958904,-254.34091941858728,-26.05900237132775,10.829118529340002
-130.90774479996426,-180.78945123971954,-276.3693100603489,-123.06907722882822,-69.73467531992132
-163.2219962077876,-163.8592635692403,-192.01309593756608,-56.05878220196317,-172.36661889527355
-131.60345594168152,-171.18872769755495,-176.98869417637457,-181.34033551255132,-12.44337082521206
-115.57051730056905,-140.9359239739895,-225.77595800345358,-224.3807928037813,55.8397815020684
-139.72844200941762,-155.54645438323382,-151.2417976359473,-56.81650884340255,12.958309601389468
-121.15141734823585,-148.076544957565,-182.23693333721175,2.6330742261294224,-36.543136354574536
-126.3019929874506,-147.83856048053642,-175.95029464836315,-166.53225927256508,72.48672779915448
-137.56334188507807,-228.4467879163317,-171.28453204363734,-188.72811329758866,-17.231454916190433
-97.19160686968986,-189.80290762808738,-165.057148131196,-70.55896297178938,-43.566598844552516
-135.3161150382659,-232.3584964974981,-163.91623450466895,-116.9438152818587,53.89050099563758
-111.55392909702728,-173.9491465706409,-233.14943430902915,-154.394502561082,-20.66939296135085
-132.9787770418712,-147.79011590877147,-210.8129545853303,-88.25583127665838,11.99061908412124
-113.95594672712139,-165.59860446815273,-169.09517568318176,-42.25732830965687,1.0220129382787748
-118.2637099131824,-121.59896602566157,-149.37337028725153,-17.15066706375751,120.27038154982617
-159.10533663485964,-174.12448185219017,-160.63402756881322,-58.78439567681132,66.71977155394065
-137.03332129761014,-187.50367406136837,-222.6807400611984,-54.65768255307664,14.963574378175704
-121.54643771960104,-143.40660101818727,-188.58064364024227,-17.808861423149004,6.193005179997932
-129.39029179483964,-133.80372439707116,-175.13852242733162,-44.703317594168325,2.1566353474016093
-150.47629467367972,-259.4759403688029,-234.35748144080944,-40.199890869563404,36.05680938231227
-147.27645569172785,-156.87919688889167,-171.4641362871499,-131.8039510711527,20.087136918918574
-150.02486924631003,-133.99658311774286,-270.93952144828955,-81.86484497910813,61.0123064074408
-146.0256636059739,-222.24847685297897,-235.58347772638555,-212.34122945682637,18.941717862700035
-121.64971765449472,-187.17699759112668,-223.1785792332492,-106.0837361667456,76.13030567500257
-124.46865396159133,-150.1238001661875,-219.52016836354747,-74.44399781884125,24.073639023426125
-131.76137975042747,-180.63425862214643,-233.76804536935308,-48.26445786917682,84.02537562619489
-139.35928638305606,-109.46327684522305,-166.42779365150403,-31.09943034684007,45.91869043119586
-129.22999212524607,-123.24925248289418,-185.3285574065759,-155.32102599754904,77.98720530799719
-116.76764405134918,-149.24417519533895,-228.27518821684646,1.6302496899994867,-19.740496888437146
-120.66424097061736,-156.08697972632572,-166.78823836149076,-35.81239325235065,-116.99908047117125
-136.0546051249008,-157.3881124786939,-188.8722375160169,-37.90425320198314,-75.23237592195295
-113.54757975275581,-214.64417887501693,-180.0589458219732,-21.109103119000373,5.349197655814434
-125.87146390711362,-184.56509839161097,-143.32110306005004,86.56265820540209,-53.00786500935512
-117.30196767690038,-186.58728706677903,-205.91781591420948,-279.8775573623676,72.34554661721225
-118.54518931803706,-135.2538182302013,-160.19186723034196,-71.58250591945227,67.96706336841466
-128.35818835388335,-201.42618345177397,-211.9511634030081,-217.7741912039885,-39.286620029436236
-104.5671191597698,-126.91569390381312,-143.28396366926611,-166.56704117876683,19.992083830219816
-113.44586313525708,-214.41437066941623,-142.4110028326399,-106.91216779869406,25.26061810605131
-151.41831811658113,-155.5054315200661,-153.14686379727127,-72.88176422062097,68.87707668926467
-115.54147993622301,-165.5152939040351,-221.3257263016631,-22.769837750138198,63.24935441329922
-187.04267304638597,-176.36019916730004,-196.03245796701066,-31.355553215797354,56.49535473650924
