Agent 1,Agent 2
-130.57757601102023,-105.39473645701904
-385.1916490061208,-356.557472282518
-148.76843403862352,-111.03011542534452
-249.11136938583056,-90.0352967463246
-81.60954907687379,-153.65752013871258
-282.7751150625393,-118.71002207324514
-123.28677716967933,-100.3160095909183
-392.1251653315101,-132.36470592503494
-389.43352868929543,-108.00127200220868
-50.21028110061499,-105.30511962982554
-178.63829002435227,-168.5283941575182
-287.1737209825658,-172.11392244954672
-311.72075886437773,-274.39637172785143
-132.44855459023603,-86.34495120314776
-51.16328952283148,-108.10065809027563
-116.61267864292299,-347.3463792186925
-115.60234611726473,-93.76023109693357
-126.41038697280081,-113.06735647511026
-89.06418379335314,-155.03323371409792
-303.2790629105806,-131.9697024784597
-114.23902418075714,-252.78097167483708
-386.0071300701882,-162.00842446459762
-103.09863478027299,-97.92584918502033
-109.38635247507713,-115.48903642908266
-333.5175430925608,-179.70670511684077
-99.46937433254234,-94.35989253181806
-204.0667059848247,-92.04247206048623
-485.39893872991087,-123.4919972164607
-374.9138470030798,-440.48182828660777
-117.88673475412682,-123.334408789841
-358.0476915582119,-230.45377286862043
-96.67463845187305,-221.70117215377417
-287.83440166294474,-380.3919680875423
-354.27232122073445,-147.64106358702986
-364.0426544653449,-93.19338029599552
-131.86648502953557,-80.00600909508157
-146.77299617018627,-306.06423380621226
-307.8248430495098,-293.11829600691726
-382.19457580298797,-83.52875441671617
-199.82564751601868,-73.93151520941541
-101.57287008483657,-142.68708625491846
-120.15092912555338,-102.82914602887283
-120.79487450583426,-153.1640811612775
-114.95079632180723,-92.36018766443962
-261.25034628298874,-124.0657856657861
-96.68972675886525,-241.57667783683328
-268.75473669923775,-131.1149811637273
-206.73126298916185,-120.1582594835384
-98.57357664818102,-130.45141354303775
-101.38843534470482,-87.94734702146177
-113.73904045718986,-152.50278344898385
-229.7755520091407,-420.35661208537897
-111.19718620638739,-342.2367949047109
-130.09879938770675,-152.9458841268176
-245.957075388771,-348.30125507748977
-104.60538146649697,-245.06513452365687
-135.8684912101349,-289.8728289155411
-134.37985341779114,-124.4903691995949
-322.7011192835844,-333.32915339846454
-98.35780040407346,-283.7513776375482
-130.77032737586092,-252.3691044931157
-123.44451932129545,-91.10280914569759
-223.23118167981573,-465.26968940963684
-254.77906677538678,-115.42794942565664
-104.42309373102006,-140.2314095126004
-125.700273671229,-362.08592336358316
-112.0871924938761,-257.58127416345496
-120.40568826599963,-495.16877235760376
-430.7722939426268,-129.6161591368234
-175.69835553081793,-225.5756535392922
-134.957403082609,-360.06695852774993
-80.63708171080236,-118.09799297663515
-161.36661829020613,-185.32132093947135
-170.289220427263,-121.85485953106944
-104.23987844706141,-131.33754677372355
-115.30567398175712,-143.166513801854
-241.18977273992834,-90.91651716778262
-180.05131850291548,-157.6470843145285
-103.2207127729973,-279.0299349826188
-113.31856243356708,-365.4080971216367
-22.80742543261863,-166.04977628785036
-406.00755380050464,-266.63133352179034
-10.939139409676443,-191.64369557724234
-102.10361450095567,-115.05783886146286
-564.8675925706518,-340.88110387371603
-178.46607133876137,-102.51267987774521
-171.32464227854783,-111.5032749042277
-85.87978444004726,-116.38121373487148
-300.0733413150361,-92.76585766466668
-174.82997212959583,-403.21933433563794
-122.79531019708415,-336.9719389418982
-93.69569331333234,-151.8233888953604
-315.3012011924759,-101.94318191391244
-428.5405851697744,-142.54023352860622
-121.01435094627536,-307.7420296913074
-290.18192180215004,-352.94220348001386
-115.33798629869636,-236.34056173430687
-421.1948762203832,-80.94733002285939
-285.7548679676331,-82.02490616169757
-92.9777906583158,-375.1821858282823
-85.72070837418406,-145.19876066483417
-113.37177006765064,-446.17521675544987
-305.43735534709356,-188.76219578275538
-90.86393415486198,-347.9875394553179
-242.1419637853034,-170.89169130435903
-150.192974695241,-68.91993021842033
-456.85654088202136,-147.5217143313262
-281.6297331237724,-121.680777946745
