Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
-107.12743872843475,-56.493410277221386,-180.92100411172677,-130.5805623324936,-166.9299060096715,-47.00876652075297,-135.45893754009907,-289.8011831157387,-306.92323375352987,-112.06763940407082
-103.90672263883182,-335.6127316410709,-228.768337445966,-168.73273157738944,-125.39651736724163,-124.46770997596889,-189.01777842182213,-91.73645570626121,-106.71944199808117,-476.9737554604508
-375.31735293521405,-313.77144979548075,-239.31997815791226,-94.38574896641975,-221.18552379002728,-335.80530771449287,-236.7867068981571,-97.33940944771591,-207.16996730457322,-111.20058559987831
-78.87424157168198,-313.61112041797685,-85.35409080139979,-203.42414815040206,-77.92375001530962,-158.17471448578186,-252.2122626232544,-110.81223215800848,-247.36531483829785,-362.14997356467074
-307.623896569268,-253.04021692752258,-189.32974050316778,-96.41180331982612,-87.76759274102746,-183.26166549804552,-218.34622246586426,-133.70646848748652,-127.68604139706375,-58.05620330107747
-204.78993184060346,-110.2621163294443,-153.56737407498605,-127.6086847825803,-141.34884474552607,-140.29292078235167,-125.98063447635138,-182.6160306046968,-444.6077028919559,-126.17540141487788
-39.42104415262108,-120.89108395727956,-205.52103978681248,-105.7424387439905,-86.36500288765903,-140.603013548674,-136.64303488957563,-137.85039664506178,-88.29271608435091,-341.82552546534373
-264.00325641072436,-432.7801946099382,-299.92946167418415,-200.16170974658093,-117.49050269565511,-252.38712859581895,-133.0812273389598,-149.66185952880136,-357.09479281757797,-368.9659811925621
-235.00255479036778,-214.18623094565334,-91.4143816753029,-175.70289356718865,-185.29318840736448,-247.8386760349124,-122.69346447118141,-206.9605613945074,-89.66252123149656,-182.57961440453442
-104.36389779415214,-124.73119967937126,-444.004030877888,-111.23899016907028,-117.70529421703483,-353.76376708106534,-157.51016259187503,-129.18207730116868,-323.8273043281255,-178.55427850358444
-117.23094120562126,-326.4541067228492,-133.46242049487557,-85.09000807020487,-166.39460986214954,-347.07887397884156,-107.20863514887374,-88.26502538071223,-357.3740076129355,-103.02550164204656
-92.3255525368638,-124.38623934896847,-168.80116408459028,-104.34868861776968,-363.4182646017193,-367.25354558784903,-1.1108895179464469,-58.770033385366375,-304.9802098997492,-103.61530786408113
-89.19080138467865,-429.81355764723855,-55.685863064352155,-188.06243749000822,-180.10819953283215,-247.40688714252119,-359.51303546570807,-173.53669734168184,-113.64157711374502,-213.54042025385584
-117.58714920051473,-201.2616451131625,-141.42389867677204,-138.1016670838365,-141.97065103325394,-78.17569282258808,-170.88682297181276,0.5786654119658579,-299.7628089731552,-162.99119132480917
-95.88293964825436,-210.6721414984229,-114.335212927317,-212.63122052441759,-327.3756720148352,-96.09063372603728,-86.27114493899136,-304.8375568134918,-220.3431536710505,-270.0444638256097
-68.28326480440546,-123.43121476399948,-460.0462985982408,-5.559982648634588,-147.48661009447642,-136.71478249892706,-92.74162206599834,-198.43610590176326,-126.18104904582745,-348.1696015471117
-209.6255516436347,-176.11078074342862,-122.77972684699608,-63.09847525138789,-242.484806971867,-193.14840232956573,-95.2294435630135,-138.3137323269135,-215.38503331248165,-107.56416746696661
-305.5383645716676,-415.88865098728155,-125.25496428967173,-187.28641964254666,-114.02467923920638,-56.681654474355746,-131.4737243262944,-168.102856955446,-450.80046752191004,-274.9584475380555
-128.42260397418318,-390.68448552329426,-374.8753136079706,-119.67371848284549,-178.94034985645914,-189.79833357183657,-114.2636558050651,-257.4273864853755,-216.87300335985987,-327.77139524037943
-4.857715899149767,-63.098142603289546,-148.52373563751166,-382.96578314528034,-320.92842550023846,-84.59930870843206,-185.18964126871353,-460.03578101705864,-238.4968934551402,-508.3818306108513
-287.64564756945856,-111.13216227823068,-141.80392291309656,-89.49645016988245,-224.5679152537339,-289.3802846648032,-365.24077522598566,-139.61793504151444,-209.95850136221918,-163.92715907458592
-167.4521317120583,-134.4156781146935,-114.15627045972435,-409.02668794233995,-431.3930548482357,-339.2555329802287,-339.8627084253236,-80.07653771726541,-454.1881708073507,-208.97361080832317
-93.16998759702172,-89.39836807578361,-199.8484138634098,-122.72313097868414,-116.65523869031504,-134.2005887721762,-307.42491890478266,-200.6447241041741,-178.1381059286644,-76.99222663397387
-117.18196096736136,-98.92091007209383,-109.08654749631643,-143.1391705547743,-349.7836656435292,-122.73289279989021,-185.20134388125666,-158.76952690013516,-141.10098647371237,-111.68755154174814
-128.47635773932345,-112.34529725145951,-126.09529622105734,-312.001876538273,-97.39636098901624,-47.719544523372804,-71.7867921047597,-163.38845115349875,-115.87170127493125,-134.14511898306006
-343.3571567635505,-194.91395091326552,-146.09082940488943,-311.7920241613849,-309.56725678802877,-81.60535046416118,-119.64405858232207,-97.41557019311844,-191.67773280503764,-109.67543447431547
-343.52005036248573,-206.10239361888688,-213.23413898560494,-104.78253769034491,-176.15623011332767,-57.719298496506624,-136.92683655351357,-242.95481005213588,-75.71035086403734,-147.0100041747877
-94.71152376388861,-121.05851479889286,-327.673914196654,-139.1360017687706,-136.69971528268377,-241.08846998899895,-185.3640592672317,-281.37328621992435,-121.89485793011768,-171.51678689981426
-219.7635840184808,-115.2371232233212,-108.0872809546228,-100.92709578448442,-323.719880425558,-92.96701491297667,-131.92666149212778,-122.9442661976282,-91.2226897059639,-134.24372419961932
-345.7552633545538,-148.6811868253487,-90.75205515457449,-272.2700251248946,-455.7106887431588,-188.57353749616576,-328.2722160006734,-127.52257149886091,-94.22086893052413,-225.36210871126497
-626.5253307567205,-452.42969021413944,-145.73708521987425,-127.35447549461679,-393.2561259984464,-301.65011212582436,-407.81468390260784,-421.76774075409907,-180.5318672413208,-331.79604115767324
-326.90238262462,-404.22556013273356,-43.736584235117945,-120.33016756373874,-87.03186619577477,-172.12101486237867,-369.3952596323982,-118.49839553361534,-403.68297220183536,-131.27073560915602
-173.3311441502209,-114.5523844853235,-120.55860669843943,-89.72675669204065,-377.59195714972753,20.04809236318613,-88.45399428998273,-60.15227137921518,-304.9571467115302,-125.2593512500232
-410.3974937748592,-151.4321990470004,-85.41062356491233,-388.8754386560107,-140.32214808512194,-31.145045190574848,-128.86487674098436,-76.26150240259756,-343.21737417724415,-87.73274591065356
-260.01817160024973,-80.82502633071356,-88.56919257267275,-235.37902086143185,-387.3245545445803,-64.24939821418332,-13.367540372724307,-212.15797110667057,24.778701025605713,-125.31667939470256
-236.8366553268964,-224.13058319417297,-161.4672871142521,-51.21542698831554,-111.04338148803231,-118.22019557195674,-159.67852980332935,-124.79983120895562,-62.053507119579166,-181.04681146921598
-122.41903673170567,-293.0434576551928,-219.79151455996185,-303.4618442428023,-143.3856903656615,-88.12359003177538,-104.9481450954315,-151.4493682605835,-114.63045522214091,-143.79072304563468
-174.1860871355257,-84.58971084675606,5.728548224229016,-305.9236529480802,-459.1307805314679,-99.94237140662813,-144.53064657880591,-194.58903109063598,-271.4854938577686,-103.00604728391151
