Update,Timestep,Rolling_Avg_Reward
0,2048,-199.92
1,4096,-205.65
2,6144,-204.56
3,8192,-197.96
4,10240,-184.94
5,12288,-178.14
6,14336,-171.80
7,16384,-175.92
8,18432,-178.66
9,20480,-182.41
10,22528,-185.20
11,24576,-175.46
12,26624,-175.54
13,28672,-175.68
14,30720,-176.22
15,32768,-189.41
16,34816,-191.67
17,36864,-194.28
18,38912,-185.24
19,40960,-178.72
20,43008,-179.51
21,45056,-179.69
22,47104,-173.99
23,49152,-191.38
24,51200,-189.88
25,53248,-186.86
26,55296,-172.88
27,57344,-171.61
28,59392,-149.12
29,61440,-138.85
30,63488,-135.05
31,65536,-139.38
32,67584,-137.09
33,69632,-143.62
34,71680,-143.77
35,73728,-138.15
36,75776,-137.44
37,77824,-131.54
38,79872,-130.68
39,81920,-130.14
40,83968,-130.76
41,86016,-128.74
42,88064,-129.04
43,90112,-129.07
44,92160,-129.93
45,94208,-133.04
46,96256,-128.67
47,98304,-127.51
48,100352,-127.40
49,102400,-131.75
50,104448,-136.17
51,106496,-144.27
52,108544,-152.68
53,110592,-154.62
54,112640,-149.19
55,114688,-147.19
56,116736,-137.08
57,118784,-127.62
58,120832,-126.37
59,122880,-127.59
60,124928,-127.64
61,126976,-125.48
62,129024,-126.95
63,131072,-121.39
64,133120,-121.99
65,135168,-121.00
66,137216,-124.73
67,139264,-126.71
68,141312,-127.19
69,143360,-123.79
70,145408,-122.82
71,147456,-125.51
72,149504,-125.04
73,151552,-124.53
74,153600,-126.43
75,155648,-130.23
76,157696,-130.65
77,159744,-130.01
78,161792,-128.20
79,163840,-123.73
80,165888,-120.19
81,167936,-119.38
82,169984,-120.52
83,172032,-120.50
84,174080,-120.76
85,176128,-120.09
86,178176,-118.63
87,180224,-124.21
88,182272,-124.46
89,184320,-120.27
90,186368,-118.71
91,188416,-108.51
92,190464,-107.51
93,192512,-106.15
94,194560,-108.42
95,196608,-112.44
96,198656,-120.50
97,200704,-121.06
98,202752,-122.61
99,204800,-125.23
100,206848,-126.30
101,208896,-126.00
102,210944,-120.18
103,212992,-122.01
104,215040,-123.23
105,217088,-124.10
106,219136,-121.61
107,221184,-120.96
108,223232,-125.68
109,225280,-127.00
110,227328,-127.65
111,229376,-124.97
112,231424,-122.58
113,233472,-121.50
114,235520,-119.59
115,237568,-118.29
116,239616,-114.19
117,241664,-110.26
118,243712,-108.60
119,245760,-111.24
120,247808,-111.37
121,249856,-112.15
122,251904,-108.32
123,253952,-110.86
124,256000,-114.80
125,258048,-114.41
126,260096,-111.75
127,262144,-111.41
128,264192,-112.58
129,266240,-116.69
130,268288,-124.98
131,270336,-125.45
132,272384,-125.46
133,274432,-123.06
134,276480,-125.06
135,278528,-126.77
136,280576,-130.35
137,282624,-132.43
138,284672,-129.09
139,286720,-128.61
140,288768,-125.43
141,290816,-124.52
142,292864,-120.74
143,294912,-115.28
144,296960,-114.64
145,299008,-117.11
146,301056,-118.60
147,303104,-120.58
148,305152,-125.31
149,307200,-128.35
150,309248,-132.99
151,311296,-134.58
152,313344,-138.01
153,315392,-138.11
154,317440,-138.98
155,319488,-139.88
156,321536,-132.95
157,323584,-126.64
158,325632,-122.66
159,327680,-117.80
160,329728,-116.41
161,331776,-111.46
162,333824,-111.57
163,335872,-115.14
164,337920,-116.15
165,339968,-113.36
166,342016,-117.06
167,344064,-120.34
168,346112,-124.12
169,348160,-124.46
170,350208,-126.98
171,352256,-127.82
172,354304,-120.10
173,356352,-119.06
174,358400,-112.21
175,360448,-111.67
176,362496,-109.51
177,364544,-107.70
178,366592,-109.17
179,368640,-107.26
180,370688,-107.05
181,372736,-106.41
182,374784,-105.03
183,376832,-102.73
184,378880,-98.31
185,380928,-95.50
186,382976,-91.11
187,385024,-90.24
188,387072,-93.64
189,389120,-93.65
190,391168,-98.54
191,393216,-102.28
192,395264,-102.09
193,397312,-99.27
194,399360,-99.86
195,401408,-99.62
196,403456,-93.30
197,405504,-93.98
198,407552,-90.65
199,409600,-93.56
200,411648,-91.37
201,413696,-91.15
202,415744,-89.90
203,417792,-89.55
204,419840,-90.07
205,421888,-84.15
206,423936,-88.51
207,425984,-89.91
208,428032,-81.95
209,430080,-78.22
210,432128,-83.87
211,434176,-84.68
212,436224,-86.37
213,438272,-84.06
214,440320,-90.71
215,442368,-87.95
216,444416,-83.73
217,446464,-84.19
218,448512,-80.92
219,450560,-82.93
220,452608,-78.19
221,454656,-77.37
222,456704,-71.13
223,458752,-70.83
224,460800,-67.40
225,462848,-65.41
226,464896,-62.37
227,466944,-60.38
228,468992,-61.86
229,471040,-62.16
230,473088,-61.87
231,475136,-60.36
232,477184,-61.69
233,479232,-62.95
234,481280,-63.56
235,483328,-62.96
236,485376,-62.26
237,487424,-59.10
238,489472,-57.10
239,491520,-59.79
240,493568,-57.60
241,495616,-54.65
242,497664,-54.48
243,499712,-51.57
244,501760,-47.96
245,503808,-48.03
246,505856,-46.21
247,507904,-47.72
248,509952,-43.96
249,512000,-41.27
250,514048,-43.53
251,516096,-42.13
252,518144,-40.12
253,520192,-43.57
254,522240,-44.16
255,524288,-51.09
256,526336,-51.10
257,528384,-59.12
258,530432,-58.04
259,532480,-56.12
260,534528,-57.47
261,536576,-56.42
262,538624,-57.23
263,540672,-54.79
264,542720,-52.53
265,544768,-48.16
266,546816,-49.33
267,548864,-45.14
268,550912,-40.94
269,552960,-35.88
270,555008,-32.40
271,557056,-30.98
272,559104,-32.01
273,561152,-34.67
274,563200,-32.49
275,565248,-32.64
276,567296,-32.59
277,569344,-31.45
278,571392,-29.46
279,573440,-29.08
280,575488,-28.49
281,577536,-25.33
282,579584,-28.60
283,581632,-33.09
284,583680,-32.82
285,585728,-36.59
286,587776,-39.69
287,589824,-39.53
288,591872,-35.44
289,593920,-32.18
290,595968,-29.52
291,598016,-26.51
292,600064,-27.22
293,602112,-28.32
294,604160,-28.85
295,606208,-24.25
296,608256,-26.19
297,610304,-23.42
298,612352,-26.28
299,614400,-26.33
300,616448,-26.31
301,618496,-25.68
302,620544,-21.70
303,622592,-20.71
304,624640,-18.88
305,626688,-15.81
306,628736,-16.79
307,630784,-18.19
308,632832,-16.73
309,634880,-17.67
310,636928,-15.35
311,638976,-13.17
312,641024,-10.03
313,643072,-11.54
314,645120,-10.14
315,647168,-12.76
316,649216,-11.88
317,651264,-12.26
318,653312,-11.46
319,655360,-7.36
320,657408,-3.86
321,659456,-2.87
322,661504,-0.10
323,663552,-0.29
324,665600,-5.36
325,667648,-3.75
326,669696,-7.55
327,671744,-7.03
328,673792,-6.77
329,675840,-7.31
330,677888,-5.44
331,679936,-2.30
332,681984,-0.79
333,684032,0.27
334,686080,-3.31
335,688128,-6.12
336,690176,-8.02
337,692224,-8.66
338,694272,-14.69
339,696320,-14.72
340,698368,-13.93
341,700416,-14.40
342,702464,-14.43
343,704512,-17.84
344,706560,-22.06
345,708608,-25.55
346,710656,-26.33
347,712704,-28.01
348,714752,-25.90
349,716800,-26.84
350,718848,-27.92
351,720896,-29.50
352,722944,-27.04
353,724992,-28.25
354,727040,-31.29
355,729088,-31.86
356,731136,-34.84
357,733184,-34.09
358,735232,-36.72
359,737280,-34.38
360,739328,-32.62
361,741376,-36.21
362,743424,-37.13
363,745472,-35.71
364,747520,-37.98
365,749568,-38.33
366,751616,-37.82
367,753664,-39.57
368,755712,-44.83
369,757760,-45.90
370,759808,-47.05
371,761856,-45.72
372,763904,-46.45
373,765952,-48.67
374,768000,-47.15
375,770048,-43.91
376,772096,-43.55
377,774144,-44.17
378,776192,-42.22
379,778240,-37.24
380,780288,-37.49
381,782336,-35.33
382,784384,-33.22
383,786432,-35.50
384,788480,-36.24
385,790528,-36.89
386,792576,-35.58
387,794624,-34.25
388,796672,-32.52
389,798720,-33.01
390,800768,-34.76
391,802816,-36.75
392,804864,-40.14
393,806912,-39.47
394,808960,-39.75
395,811008,-39.02
396,813056,-37.52
397,815104,-41.88
398,817152,-40.51
399,819200,-42.33
400,821248,-40.82
401,823296,-39.23
402,825344,-39.61
403,827392,-40.29
404,829440,-41.73
405,831488,-45.68
406,833536,-41.98
407,835584,-43.20
408,837632,-40.45
409,839680,-44.12
410,841728,-43.07
411,843776,-43.75
412,845824,-39.22
413,847872,-41.31
414,849920,-40.40
415,851968,-35.49
416,854016,-33.53
417,856064,-26.31
418,858112,-27.72
419,860160,-19.46
420,862208,-14.95
421,864256,-15.05
422,866304,-13.11
423,868352,-16.55
424,870400,-8.67
425,872448,-3.07
426,874496,-3.22
427,876544,-3.92
428,878592,-3.09
429,880640,0.83
430,882688,-2.12
431,884736,0.98
432,886784,3.88
433,888832,1.54
434,890880,2.62
435,892928,5.16
436,894976,8.12
437,897024,12.45
438,899072,17.57
439,901120,22.79
440,903168,25.40
441,905216,23.34
442,907264,24.31
443,909312,21.49
444,911360,20.22
445,913408,23.80
446,915456,22.94
447,917504,28.95
448,919552,27.17
449,921600,24.31
450,923648,25.55
451,925696,9.31
452,927744,0.19
453,929792,-1.46
454,931840,-11.89
455,933888,-17.30
456,935936,-24.48
457,937984,-27.30
458,940032,-26.63
459,942080,-22.85
460,944128,-25.31
461,946176,-27.72
462,948224,-30.27
463,950272,-29.81
464,952320,-29.05
465,954368,-23.80
466,956416,-20.16
467,958464,-16.18
468,960512,-10.67
469,962560,-8.53
470,964608,-7.92
471,966656,-5.86
472,968704,-2.27
473,970752,1.48
474,972800,7.64
475,974848,6.07
476,976896,11.84
477,978944,15.29
478,980992,14.79
479,983040,14.92
480,985088,15.98
481,987136,16.82
482,989184,24.35
483,991232,28.95
484,993280,26.69
485,995328,25.35
486,997376,25.42
487,999424,27.99
488,1001472,28.51
489,1003520,28.68
490,1005568,28.72
491,1007616,27.02
492,1009664,30.51
493,1011712,33.81
494,1013760,30.64
495,1015808,28.48
496,1017856,26.77
497,1019904,26.81
498,1021952,29.12
499,1024000,26.29
500,1026048,27.55
501,1028096,26.50
502,1030144,24.46
503,1032192,24.00
504,1034240,19.84
505,1036288,15.17
506,1038336,21.74
507,1040384,26.33
508,1042432,24.42
509,1044480,22.94
510,1046528,22.36
511,1048576,22.47
512,1050624,20.78
513,1052672,16.93
514,1054720,16.78
515,1056768,15.24
516,1058816,18.67
517,1060864,21.79
518,1062912,24.84
519,1064960,24.50
520,1067008,23.86
521,1069056,24.97
522,1071104,25.75
523,1073152,25.13
524,1075200,27.12
525,1077248,23.96
526,1079296,20.37
527,1081344,20.37
528,1083392,16.19
529,1085440,15.94
530,1087488,12.83
